current_level_code,required_historical_level_code,disallowed_historical_level_code,valid_next_level_code,authorized_tier_id
1,2,NULL,7,2
1,5,NULL,7,2
2,NULL,NULL,7,2
3,NULL,NULL,7,2
4,NULL,NULL,7,2
5,NULL,NULL,7,2
6,2,NULL,7,2
8,NULL,NULL,7,2
9,NULL,NULL,7,2
19,2,NULL,7,2
20,2,NULL,7,2
16,2,NULL,7,2
23,2,NULL,7,2
24,2,NULL,7,2
25,2,NULL,7,2
1,2,27,7,2
6,2,27,7,2
19,NULL,27,7,2
20,NULL,27,7,2
16,NULL,27,7,2
23,NULL,27,7,2
24,NULL,27,7,2
25,NULL,27,7,2
1,2,26,7,2
6,2,26,7,2
19,NULL,26,7,2
20,NULL,26,7,2
16,NULL,26,7,2
23,NULL,26,7,2
24,NULL,26,7,2
25,NULL,26,7,2
1,2,4,8,2
2,NULL,NULL,8,2
3,NULL,NULL,8,2
6,2,4,8,2
7,2,4,8,2
9,NULL,4,8,2
19,2,4,8,2
20,2,4,8,2
16,2,4,8,2
23,2,4,8,2
24,2,4,8,2
25,2,4,8,2
1,2,3,9,2
2,NULL,NULL,9,2
5,2,3,9,2
6,2,3,9,2
7,2,3,9,2
8,NULL,3,9,2
19,2,3,9,2
20,2,3,9,2
16,2,3,9,2
23,2,3,9,2
24,2,3,9,2
25,2,3,9,2
